,Route,Year,PointID,grouse1,grouse2,grouse3,elev,fc,doy.1,doy.2,doy.3
190,130,2021,130_3,0,0,0,542.8036231,32.01438849,67,92,106
191,130,2020,130_4,0,0,0,557.1858088,35.69343066,84,105,126
192,130,2021,130_4,0,0,0,557.1858088,35.69343066,67,92,106
193,130,2020,130_5,0,0,0,565.4000011,67.83088235,84,105,126
194,130,2021,130_5,0,0,0,565.4000011,67.83088235,67,92,106
195,130,2020,130_6,0,0,0,567.424722,64.16666667,84,105,126
196,130,2021,130_6,0,0,0,567.424722,64.16666667,67,92,106
197,130,2020,130_7,0,0,0,564.3534493,38.99280576,84,105,126
198,130,2021,130_7,0,0,0,564.3534493,38.99280576,67,92,106
199,130,2020,130_8,0,0,0,559.9873631,66.88405797,84,105,126
200,130,2021,130_8,0,0,0,559.9873631,66.88405797,92,106,NA
201,130,2020,130_9,0,0,0,630.4650003,59.3115942,105,126,NA
202,130,2021,130_9,0,0,0,630.4650003,59.3115942,67,92,106
203,14,2020,14_1,0,0,0,583.2891415,80.95588235,77,101,125
204,14,2021,14_1,0,0,0,583.2891415,80.95588235,78,93,115
205,14,2020,14_2,0,0,0,542.5873966,26.26811594,77,101,125
206,14,2021,14_2,0,0,0,542.5873966,26.26811594,78,93,115
207,14,2020,14_3,0,0,0,590.7333891,66.24087591,77,101,125
208,14,2021,14_3,0,0,0,590.7333891,66.24087591,78,93,115
209,14,2020,14_4,0,0,0,562.9492895,52.21014493,77,101,125
210,14,2021,14_4,0,0,0,562.9492895,52.21014493,78,93,115
211,14,2020,14_5,0,0,0,573.4186006,47.5,77,101,125
212,14,2021,14_5,0,0,0,573.4186006,47.5,78,93,115
213,14,2020,14_6,0,0,0,605.125405,43.43065693,77,101,125
214,14,2021,14_6,0,0,0,605.125405,43.43065693,78,93,115
215,14,2020,14_7,0,0,0,684.9882804,73.52941176,77,101,125
216,14,2021,14_7,0,0,0,684.9882804,73.52941176,78,93,115
217,14,2020,14_8,0,0,0,698.1318757,83.47826087,77,101,125
218,14,2021,14_8,0,0,0,698.1318757,83.47826087,78,93,115
219,14,2020,14_9,0,0,0,749.8365381,84.41605839,77,101,125
220,14,2021,14_9,0,0,0,749.8365381,84.41605839,78,93,115
221,145,2020,145_1,0,0,0,700.2971699,85,88,109,136
222,145,2021,145_1,0,0,0,700.2971699,85,79,103,113
223,145,2020,145_10,0,0,0,665.9853906,79.24460432,88,109,136
224,145,2021,145_10,0,0,0,665.9853906,79.24460432,79,103,113
225,145,2020,145_11,0,0,0,707.5801926,84.70588235,88,109,136
226,145,2021,145_11,0,0,0,707.5801926,84.70588235,79,103,113
227,145,2020,145_12,0,0,0,752.6238443,84.28571429,88,109,136
